938: done 151 games, mean reward -21.000, eps 0.99, speed 515.78 f/s
235727: done 449 games, mean reward -20.930, eps 0.02, speed 15.38 f/s
236489: done 450 games, mean reward -20.930, eps 0.02, speed 15.50 f/s
237251: done 451 games, mean reward -20.930, eps 0.02, speed 14.43 f/s
238013: done 452 games, mean reward -20.930, eps 0.02, speed 15.35 f/s
238835: done 453 games, mean reward -20.930, eps 0.02, speed 15.07 f/s
239597: done 454 games, mean reward -20.930, eps 0.02, speed 14.83 f/s
240359: done 455 games, mean reward -20.930, eps 0.02, speed 14.70 f/s
241121: done 456 games, mean reward -20.940, eps 0.02, speed 15.33 f/s
241883: done 457 games, mean reward -20.940, eps 0.02, speed 15.88 f/s
242645: done 458 games, mean reward -20.940, eps 0.02, speed 16.45 f/s
243407: done 459 games, mean reward -20.940, eps 0.02, speed 16.43 f/s
244197: done 460 games, mean reward -20.940, eps 0.02, speed 15.73 f/s
245021: done 461 games, mean reward -20.940, eps 0.02, speed 15.53 f/s
245845: done 462 games, mean reward -20.940, eps 0.02, speed 15.62 f/s
246635: done 463 games, mean reward -20.940, eps 0.02, speed 15.94 f/s
247425: done 464 games, mean reward -20.940, eps 0.02, speed 15.66 f/s
248187: done 465 games, mean reward -20.940, eps 0.02, speed 16.89 f/s
248949: done 466 games, mean reward -20.940, eps 0.02, speed 15.45 f/s
249711: done 467 games, mean reward -20.940, eps 0.02, speed 14.44 f/s
250534: done 468 games, mean reward -20.940, eps 0.02, speed 15.39 f/s
251357: done 469 games, mean reward -20.940, eps 0.02, speed 15.65 f/s
252180: done 470 games, mean reward -20.940, eps 0.02, speed 15.95 f/s
252942: done 471 games, mean reward -20.940, eps 0.02, speed 14.56 f/s
253732: done 472 games, mean reward -20.940, eps 0.02, speed 15.48 f/s
254522: done 473 games, mean reward -20.940, eps 0.02, speed 15.79 f/s
255284: done 474 games, mean reward -20.940, eps 0.02, speed 15.61 f/s
256074: done 475 games, mean reward -20.940, eps 0.02, speed 15.58 f/s
256956: done 476 games, mean reward -20.940, eps 0.02, speed 15.92 f/s
257746: done 477 games, mean reward -20.950, eps 0.02, speed 15.69 f/s
258508: done 478 games, mean reward -20.950, eps 0.02, speed 15.75 f/s
259270: done 479 games, mean reward -20.950, eps 0.02, speed 15.60 f/s
260032: done 480 games, mean reward -20.950, eps 0.02, speed 15.64 f/s
260794: done 481 games, mean reward -20.950, eps 0.02, speed 15.59 f/s
261584: done 482 games, mean reward -20.950, eps 0.02, speed 15.64 f/s
262365: done 483 games, mean reward -20.950, eps 0.02, speed 15.57 f/s
263201: done 484 games, mean reward -20.940, eps 0.02, speed 15.95 f/s
263963: done 485 games, mean reward -20.940, eps 0.02, speed 15.94 f/s
